name,id
端午特辑·斗草,5426103
【回放】MANTA 出道一周年纪念直播,5711543
MANTA周年曲·《WHY》,5724882
音乐小剧场·WHY,5725545
MANTA周年电话语音福利,5743237
MANTA出道周年织音发布会纯享版：2022周年狂欢,5775061
江恪生日小剧场·知音,5848283
短信提示音·柏闻,5899682
短信提示音·江恪,5899685
短信提示音·季少一,5899700
短信提示音·许向安,5899703
短信提示音·许向宁,5899705
短信提示音·滚爷,5899709
七夕限定·约会吧-柏闻,5916386
七夕限定·约会吧-江恪,5916388
七夕限定·约会吧-季少一,5916390
七夕限定·约会吧-许向安,5916391
七夕限定·约会吧-许向宁,5916392
柏闻生日小剧场·MANTA故事会,6076805
定档预告,6241688
第一期·hi~叫醒服务,6288338
第二期·桑拿房里的国王,6326175
小剧场02·我恨这个世界,6340343
第三期·驱鬼司五道士,6377529
第四期·天与海,6424748
小剧场03·一个游戏而已,6437908
快问快答,6449554
第五期·伴郎必修课,6471987
第六期·睡衣派对,6519268
MANTA单曲·《思无字》,6530103
音乐特辑·《无字书》上集,6530193
音乐特辑·《无字书》下集,6530213
吐槽晚会·柏闻,6853303
吐槽晚会·江恪,6853306
吐槽晚会·季少一,6853310
吐槽晚会·许向安,6853311
吐槽晚会·许向宁,6853315
特别单曲·《断臂的维纳斯》,7010718
苹果夹夹乐,7325504
浪！MANTA演唱会直播回放,8858184
虚拟偶像，但开团会,9907693
